name1,name2,street1,street2,city,state,zip,category,countyName,source,xcoord,ycoord
Practitioner,,517 Enon Springs Road East,Hamilton Office Park,Smyrna,TN,37167,buprenorphine,RUTHERFORD,SAMHSA,-86.504076,35.972659
Practitioner,,Doctors Assisted Wellness &amp; Recovery,2406 Susannah Street,Johnson City,TN,37601,buprenorphine,WASHINGTON,SAMHSA,-86.4941663,35.9739429
Practitioner,,Groups - Recover Together,706 Green Boulevard,Aurora,IN,47001,buprenorphine,DEARBORN,SAMHSA,-84.8941843,39.0703024
Practitioner,,270-05 76th Avenue,,Queens,NY,11040,buprenorphine,QUEENS,SAMHSA,-73.70847,40.7542624
Practitioner,,6504 Pheasant Lane,Apartment 101,Middleton,WI,53562,buprenorphine,DANE,SAMHSA,-89.4918628,43.1030867
Practitioner,,1000 Germantown Pike,,Plymouth Meeting,PA,19462,buprenorphine,MONTGOMERY,SAMHSA,-75.2986159,40.1292024
Practitioner,,96 Colchester,,Burlington,VT,5401,buprenorphine,CHITTENDEN,SAMHSA,-73.1961465,44.4809992
Practitioner,,Centers for Medicare and Medicaid Services,7500 Security Boulevard Mailstop 06-05,Baltimore,MD,21244,buprenorphine,BALTIMORE,SAMHSA,-76.7645499,39.3170143
Practitioner,,Heartland Family Medical,130 W. Van Dorn Avenue,Holly Springs,MS,38635,buprenorphine,MARSHALL,SAMHSA,-89.4495827,34.7677051
Practitioner,,Turning Point,340 Stateline Road W,Southaven,MS,38671,buprenorphine,DESOTO,SAMHSA,-89.9959476,34.9926435
Practitioner,,9720 S Tacoma Way,,Lakewood,WA,98499,buprenorphine,PIERCE,SAMHSA,-122.4854461,47.1689971
Practitioner,,4010 Aerial Way,,Eugene,OR,97487,buprenorphine,LANE,SAMHSA,-123.1635748,44.0848466
Practitioner,,3471 5th Avenue,Suite 910,Pittsburgh,PA,15213,buprenorphine,ALLEGHENY,SAMHSA,-79.960669,40.4404493
Practitioner,,270 Park Avenue,,Huntington,NY,11743,buprenorphine,SUFFOLK,SAMHSA,-73.415944,40.8793305
Practitioner,,75 Francis Street,,Boston,MA,2115,buprenorphine,SUFFOLK,SAMHSA,-71.1067408,42.3362036
Practitioner,,1401 Atlantic Avenue,Suite 2500,Atlantic City,NJ,8401,buprenorphine,ATLANTIC,SAMHSA,-74.4288387,39.3625305
Practitioner,,5909 Stumph Road,#1,Parma Heights,OH,44130,buprenorphine,CUYAHOGA,SAMHSA,-81.7686252,41.4023166
Practitioner,,La Casa Community Behavioral Health Services,110 E Mescalero Road,Roswell,NM,88201,buprenorphine,CHAVES,SAMHSA,-104.5210333,33.4295777
Practitioner,,884 Washington Street,,Weymouth,MA,2189,buprenorphine,NORFOLK,SAMHSA,-70.9409802,42.2005495
Practitioner,,420 Silver Bridge Plaza,,Gallipolis,OH,45631,buprenorphine,GALLIA,SAMHSA,-84.44188117,38.00542948
Practitioner,,SAMARITAN FAMILY MEDICAL SERVICES,5401 N KNOXVILLE AVE STE 215,PEORIA,IL,61614,buprenorphine,PEORIA,SAMHSA,-77.52269814,35.87467526
Practitioner,,Unity Hospital Rochester Regional Health,1565 Long Pond Road,Rochester,NY,14626,buprenorphine,MONROE,SAMHSA,-77.7047069,43.1900059
Practitioner,,"111 Court Street South, Suite B",,Ripley,WV,25271,buprenorphine,JACKSON,SAMHSA,-81.711815,38.818676
Practitioner,,68353 Bannock Road,,St. Clairsville,OH,43950,buprenorphine,BELMONT,SAMHSA,-80.96944,40.078453
Practitioner,,800 Hospital Drive,,Columbia,MO,65201,buprenorphine,BOONE,SAMHSA,-92.3288487,38.9372354
Practitioner,,1 Park Avenue,8th Floor,New York,NY,10016,buprenorphine,NEW YORK,SAMHSA,-73.9815581,40.7458609
Practitioner,,5760 Patriot Boulevard,,Austintown,OH,44514,buprenorphine,MAHONING,SAMHSA,-95.44355598,30.13122731
Practitioner,,14410 Route 37,,Johnston City,IL,62951,buprenorphine,WILLIAMSON,SAMHSA,-88.9313818,37.8044243
Practitioner,,Desert Clinic Pain Institute,"36101 Bob Hope Dr., Suite B-2",Rancho Mirage,CA,92270,buprenorphine,RIVERSIDE,SAMHSA,-116.4083279,33.7842957
Practitioner,,101 Page Street,,NEW BEDFORD,MA,2740,buprenorphine,BRISTOL,SAMHSA,-70.9382343,41.6264351
Practitioner,,3640 South Cedar Street,Suite M,Tacoma,WA,98409,buprenorphine,PIERCE,SAMHSA,-122.4785139,47.2248246
Practitioner,,1320 Highway 231 South,Suite 2,Troy,AL,36081,buprenorphine,PIKE,SAMHSA,-85.9449138,31.7811506
Practitioner,,401 Harding Street NE,,Minneapolis,MN,55413,buprenorphine,HENNEPIN,SAMHSA,-93.221169,44.993551
Practitioner,,70 First Rangeway,,Waterville,ME,4903,buprenorphine,KENNEBEC,SAMHSA,-69.65577,44.54804
Practitioner,,1418 Morton Avenue,,Ann Arbor,MI,48104,buprenorphine,WASHTENAW,SAMHSA,-83.7304355,42.262332
Practitioner,,68  Brattleboro Road,PO Box 11,Hinsdale,NH,3451,buprenorphine,CHESHIRE,SAMHSA,-72.4921274,42.7857844
Practitioner,,7410 Delaware Lane,,VANCOUVER,WA,98664,buprenorphine,CLARK,SAMHSA,-122.5946958,45.6245073
