name1,name2,street1,street2,city,state,zip,category,countyName,source,xcoord,ycoord
Oklahoma Treatment Services LLC,Bartlesville Rightway Medical,610 West Hensley Boulevard,,Bartlesville,OK,74003,methadone,Washington,SAMHSA,-95.9840426,36.7535489
Quapaw Counseling Services,,58150 East 66 Road,,Miami,OK,74354,methadone,Ottawa,SAMHSA,-94.839303,36.919477
Keetoowah Cherokee Trt Servs,,2727 East Admiral Place,,Tulsa,OK,74110,methadone,Tulsa,SAMHSA,-95.9504538,36.1611117
BHG Joplin Treatment Center,,2919 East 4th Street,,Joplin,MO,64801,methadone,Jasper,SAMHSA,-94.4782005,37.0873982
Tulsa Rightway Medical,,3445 South Sheridan Road East,,Tulsa,OK,74145,methadone,Tulsa,SAMHSA,-95.9003227,36.1124236
Center for Therapeutic Interventions,,7477 East 46 Place,,Tulsa,OK,74145,methadone,Tulsa,SAMHSA,-95.891838,36.0969347
Mission Treatment Centers Inc,Substance Abuse Treatment,5550 South Garnett Road,Suite 200,Tulsa,OK,74146,methadone,Tulsa,SAMHSA,-95.8522,36.0841317
Oklahoma Treatment Services,Rightway Medical of Ponca City,827 East Hubbard Road,,Ponca City,OK,74601,methadone,Kay,SAMHSA,-97.0672289,36.753023
ABC Health Group,Matrix Center/Wichita,9918 East Harry Street,,Wichita,KS,67207,methadone,Sedgwick,SAMHSA,-97.22253,37.665379
Center for Change,,933 North Topeka Street,,Wichita,KS,67214,methadone,Sedgwick,SAMHSA,-97.3346385,37.6995242
Wichita Comprehensive Treatment Ctr,,939 North Main Street,,Wichita,KS,67203,methadone,Sedgwick,SAMHSA,-97.338533,37.6999965
Metro Treatment Center Inc,,630 North Saint Francis Street,Suite C,Wichita,KS,67214,methadone,Sedgwick,SAMHSA,-97.3315762,37.7448608
Springdale Treatment Center,,7255 Meeshow Drive,Suite A,Springdale,AR,72762,methadone,Washington,SAMHSA,-94.21139,36.1745638
Center for Change,Lawrence,1910 Haskell Avenue,Suite A-9,Lawrence,KS,66046,methadone,Douglas,SAMHSA,-95.2222225,38.9487749
BHG XLIII,DBA BHG Northern Springfield Trt Ctr,2551 West Kearney Street,,Springfield,MO,65803,methadone,Greene,SAMHSA,-93.326587,37.24186
Topeka Treatment Center LLC,,3360 SW Harrison Street,,Topeka,KS,66611,methadone,Shawnee,SAMHSA,-95.6854186,39.0060065
DRD Management Inc,BHG Springfield Treatment Center,404 East Battlefield Road,,Springfield,MO,65807,methadone,Greene,SAMHSA,-93.2908727,37.1596909
Rightway Medical of Roland,,117 East Ray Fine Boulevard,,Roland,OK,74954,methadone,Sequoyah,SAMHSA,-94.5174447,35.4050485
ReDiscover,Treatment Options Program,8800 Blue Ridge Boulevard,,Kansas City,MO,64138,methadone,Jackson,SAMHSA,-94.4988903,38.962863
Mission Treatment Centers Inc,OKC Hefner,948 West Hefner Road,,Oklahoma City,OK,73114,methadone,Oklahoma,SAMHSA,-97.5308009,35.5797222
Kansas City Metro Methadone Prog,,3901 Rainbow Boulevard,Mail Stop 4015,Kansas City,KS,66160,methadone,Wyandotte,SAMHSA,-94.6104903,39.0571845
Veterans Affairs Medical Center,Substance Treatment and Recovery,921 NE 13th Street,Unit 116-C,Oklahoma City,OK,73104,methadone,Oklahoma,SAMHSA,-97.4958905,35.483272
Oklahoma Treatment Services LLC,,2202 Peaceable Road,,McAlester,OK,74501,methadone,Pittsburg,SAMHSA,-95.7448636,34.9073319
ReDiscover,Transitions Clinic,1000 East 24th Street,,Kansas City,MO,64108,methadone,Jackson,SAMHSA,-94.572189,39.084993
Mission Treatment Centers Inc,,1737 Linwood Boulevard,,Oklahoma City,OK,73106,methadone,Oklahoma,SAMHSA,-97.5407466,35.4751831
DRD Kansas City Medical Clinic,DBA BHG Kansas City Treatment Ctr,723 East 18th Street,,Kansas City,MO,64108,methadone,Jackson,SAMHSA,-94.5745131,39.0912635
BHG XXX LPC,BHG Kansas City North,1125 North 5th Street,,Kansas City,KS,66101,methadone,Wyandotte,SAMHSA,-94.6206669,39.1167833
Rightway Medical OKC South,,1613 SE 66th Street,Suite A,Oklahoma City,OK,73149,methadone,Oklahoma,SAMHSA,-97.4832343,35.3986231
Southern OK Treatment Services Inc,,4149 Highline Boulevard,Suite 380,Oklahoma City,OK,73108,methadone,Oklahoma,SAMHSA,-97.594099,35.457855
Able Recovery 1 LLC,,4901 South Pennsylvania Avenue,,Oklahoma City,OK,73119,methadone,Oklahoma,SAMHSA,-97.5483775,35.4166248
St Joseph Metro Treatment Center,Metro Treatment of Missouri LP,3935 Sherman Avenue,,Saint Joseph,MO,64506,methadone,Buchanan,SAMHSA,-94.798177,39.780968
BHG XXVIII LLC,BHG West Plains Treatment Center,1639 Bruce Smith Parkway,,West Plains,MO,65775,methadone,Howell,SAMHSA,-91.8757748,36.7125583
Southern Oklahoma Treatment Services,,905 Holiday Drive,,Ardmore,OK,73401,methadone,Carter,SAMHSA,-97.1653259,34.1853602
Southern Oklahoma Treatment Services,,5912 Highway 70 East,,Mead,OK,73449,methadone,Bryan,SAMHSA,-96.5091748,33.9981376
DRD Management Inc,BHG Columbia Treatment Center,1301 Vandiver Drive,Suite Y,Columbia,MO,65202,methadone,Boone,SAMHSA,-92.3208527,38.9719349
Southern Oklahoma Treatment Services,,1307 SW Washington Avenue,,Lawton,OK,73501,methadone,Comanche,SAMHSA,-98.4084557,34.5936287
Central Arkansas Treatment Services,,5407 Highway 5 North,Suite 6,Bryant,AR,72022,methadone,Saline,SAMHSA,-92.50153,34.62408
University of Arkansas for,Medical Sciences/SAT Clinic,4224 Shuffield Drive,,Little Rock,AR,72207,methadone,Pulaski,SAMHSA,-92.3196395,34.7471978
Catar Clinic,,4260 Stockton Drive,,North Little Rock,AR,72117,methadone,Pulaski,SAMHSA,-92.2176331,34.7851589
Lincoln Treatment Center,,4305 O Street,,Lincoln,NE,68510,methadone,Lancaster,SAMHSA,-96.6594651,40.8132196
Texas Treatment Services LLC,,207 Broad Street,,Wichita Falls,TX,76301,methadone,Wichita,SAMHSA,-98.5030058,33.9132208
Arkansas Treatment Services LLC,,408 Hazel Street,,Texarkana,AR,71854,methadone,Miller,SAMHSA,-94.0397594,33.4256223
MedPro Treatment Centers,,405 North Mcdonald Street,Suite B,McKinney,TX,75069,methadone,Collin,SAMHSA,-96.6125398,33.2008505
Texas Treatment Services LLC,Denton Opioid Treatment Program,621 Londonderry Lane,,Denton,TX,76205,methadone,Denton,SAMHSA,-97.1267141,33.1901014
Omaha Treatment Center,,11215 John Galt Boulevard,,Omaha,NE,68137,methadone,Douglas,SAMHSA,-96.087617,41.208746
West Texas Counseling and,Rehabilitation Program of Plano Inc,1108 Dobie Drive,Suite 102,Plano,TX,75074,methadone,Collin,SAMHSA,-96.6982756,33.0351743
BAART Community Healthcare Inc,,1941 South 42nd Street,Suite 210,Omaha,NE,68105,methadone,Douglas,SAMHSA,-95.9750427,41.2406369
Symetria Recovery,Lewisville,1850 Lake Pointe Drive,,Lewisville,TX,75057,methadone,Denton,SAMHSA,-96.9792201,33.0173703
Northeast Arkansas Treatment Services,,912 Osler Drive,Suite B,Jonesboro,AR,72401,methadone,Craighead,SAMHSA,-90.6929853,35.8338035
BHG XXIX LLC,,1369 North Westwood Boulevard,,Poplar Bluff,MO,63901,methadone,Butler,SAMHSA,-90.4166756,36.7698239
West Texas Counseling and,Rehabilitation of Garland Inc,2848 West Kingsley Road,Suite B,Garland,TX,75041,methadone,Dallas,SAMHSA,-96.6727917,32.8785499
Anti Aging and Longevity Center of,Texas PA,8021 East RL Thornton Freeway,Suite A,Dallas,TX,75228,methadone,Dallas,SAMHSA,-96.704618,32.794859
West Texas Counseling and,Rehabilitation Program of Irving,1116 West Pioneer Drive,,Irving,TX,75061,methadone,Dallas,SAMHSA,-96.960123,32.8211755
West Texas Counseling and,Rehabilitation Program of Dallas,1808 Market Center Boulevard,,Dallas,TX,75207,methadone,Dallas,SAMHSA,-96.8229354,32.7948161
STEP Med,,2929 Martin Luther King Jr Boulevard,Suite 4,Dallas,TX,75215,methadone,Dallas,SAMHSA,-96.7668127,32.7711337
